16,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,174.37,-1.08,-0.00,0.00,-11.96,0.00,0.00,0.88,-5.00,0.00,0.00,0.00,1.00,0
17,Tree3,0.10,0.10,0.10,-0.00,1.08,0.00,168.43,-1.08,-0.00,0.00,-17.50,0.00,0.00,0.88,-7.70,0.00,0.00,0.00,1.00,0
18,Tree1,0.10,0.10,0.10,-0.00,1.08,0.00,157.96,-1.08,-0.00,0.00,-1.80,0.00,0.00,0.88,-1.44,0.00,0.00,0.00,1.00,0
19,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,157.96,-1.08,-0.00,0.00,-59.37,0.00,0.00,0.88,-11.66,0.00,0.00,0.00,1.00,0
20,Tree3,0.10,0.10,0.10,-0.00,1.08,0.00,158.67,-1.08,-0.00,0.00,-90.46,0.00,0.00,0.88,-9.55,0.00,0.00,0.00,1.00,0
21,Tree1,0.10,0.10,0.10,-0.00,1.08,0.00,160.58,-1.08,-0.00,0.00,-111.71,0.00,0.00,0.88,-6.26,0.00,0.00,0.00,1.00,0
22,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,157.96,-1.08,-0.00,0.00,-137.87,0.00,0.00,0.88,-3.12,0.00,0.00,0.00,1.00,0
23,Tree3,0.10,0.10,0.10,-0.00,1.08,0.00,158.67,-1.08,-0.00,0.00,-158.50,0.00,0.00,0.88,3.63,0.00,0.00,0.00,1.00,0
24,Tree1,0.10,0.10,0.10,-0.00,1.08,0.00,150.82,-1.08,-0.00,0.00,-51.21,0.00,0.00,0.88,-9.22,0.00,0.00,0.00,1.00,0
25,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,147.49,-1.08,-0.00,0.00,-56.75,0.00,0.00,0.88,-9.02,0.00,0.00,0.00,1.00,0
26,Tree3,0.10,0.10,0.10,-0.00,1.08,0.00,145.58,-1.08,-0.00,0.00,-85.23,0.00,0.00,0.88,-8.93,0.00,0.00,0.00,1.00,0
27,Tree1,0.10,0.10,0.10,-0.00,1.08,0.00,152.73,-1.08,-0.00,0.00,-106.47,0.00,0.00,0.88,-6.05,0.00,0.00,0.00,1.00,0
28,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,145.58,-1.08,-0.00,0.00,-111.40,0.00,0.00,0.88,-6.77,0.00,0.00,0.00,1.00,0
29,Tree3,0.10,0.10,0.10,-0.00,1.08,0.00,150.11,-1.08,-0.00,0.00,-137.87,0.00,0.00,0.88,-3.95,0.00,0.00,0.00,1.00,0
